epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,13119.6,1.255,1.16976,1.37037,0.70896,0.56548,0.62053,0.42088,0.99403,0.64886,1.42918,0.000266532,0.000266532,0.000266532
68,13316.1,1.24908,1.15626,1.3675,0.71245,0.56343,0.61807,0.41772,0.9936,0.6474,1.42789,0.000253024,0.000253024,0.000253024
69,13511.3,1.25359,1.15745,1.37214,0.71508,0.56178,0.61851,0.41872,0.99354,0.64607,1.42748,0.000239766,0.000239766,0.000239766
70,13707.2,1.23374,1.13247,1.35729,0.72094,0.55955,0.61969,0.42012,0.99306,0.64471,1.4277,0.000226769,0.000226769,0.000226769
71,13903.1,1.25184,1.15039,1.36381,0.71967,0.56043,0.6192,0.41911,0.99267,0.64323,1.42716,0.000214046,0.000214046,0.000214046
72,14097.8,1.24064,1.13764,1.35772,0.72062,0.56169,0.61925,0.42172,0.99236,0.64239,1.42686,0.000201611,0.000201611,0.000201611
73,14291.1,1.23913,1.13853,1.36059,0.70178,0.57653,0.62011,0.42187,0.99193,0.6421,1.42631,0.000189475,0.000189475,0.000189475
74,14484.9,1.23535,1.11718,1.35609,0.69303,0.58387,0.62116,0.42233,0.99176,0.64116,1.42598,0.000177651,0.000177651,0.000177651
75,14678.9,1.23498,1.12581,1.3548,0.69353,0.58522,0.62159,0.42221,0.99086,0.63915,1.42472,0.000166149,0.000166149,0.000166149
76,14872.7,1.22902,1.1085,1.35475,0.69718,0.58629,0.62262,0.41989,0.9904,0.6383,1.42405,0.000154982,0.000154982,0.000154982
77,15066.9,1.23686,1.11516,1.34891,0.70147,0.58415,0.62098,0.42025,0.9897,0.63721,1.42313,0.000144161,0.000144161,0.000144161
78,15260.6,1.21755,1.10415,1.34563,0.70429,0.58306,0.62153,0.41963,0.9892,0.6362,1.42253,0.000133695,0.000133695,0.000133695
79,15455.5,1.23421,1.11283,1.35146,0.71808,0.57382,0.6221,0.42092,0.98847,0.63564,1.4218,0.000123596,0.000123596,0.000123596
80,15650.3,1.2259,1.10411,1.34257,0.71019,0.57704,0.62271,0.41926,0.98825,0.63499,1.42154,0.000113873,0.000113873,0.000113873
81,15844.1,1.2186,1.10061,1.34228,0.70721,0.58381,0.62284,0.41961,0.98785,0.63482,1.42112,0.000104537,0.000104537,0.000104537
82,16037.9,1.22678,1.10838,1.3457,0.70659,0.58296,0.62413,0.42201,0.98786,0.63427,1.42098,9.55951e-05,9.55951e-05,9.55951e-05
83,16232.3,1.21749,1.09737,1.34318,0.70595,0.58185,0.62389,0.42185,0.98773,0.63364,1.42068,8.70577e-05,8.70577e-05,8.70577e-05
84,16426.6,1.22242,1.10327,1.34734,0.70602,0.58131,0.62411,0.42219,0.98755,0.63344,1.42021,7.89327e-05,7.89327e-05,7.89327e-05
85,16622.3,1.21813,1.08989,1.34172,0.70815,0.58104,0.62442,0.42284,0.9873,0.63336,1.41976,7.12282e-05,7.12282e-05,7.12282e-05
86,16817.3,1.21404,1.07617,1.3416,0.70827,0.57986,0.62339,0.42226,0.98714,0.63345,1.4194,6.39518e-05,6.39518e-05,6.39518e-05
87,17011.4,1.20977,1.08452,1.33808,0.70784,0.58006,0.62263,0.42192,0.98726,0.63376,1.4193,5.71106e-05,5.71106e-05,5.71106e-05
88,17205.5,1.21368,1.08099,1.33832,0.70722,0.58102,0.62285,0.42219,0.98748,0.63387,1.41926,5.07115e-05,5.07115e-05,5.07115e-05
89,17399.5,1.21775,1.08678,1.33975,0.70842,0.58215,0.62314,0.42218,0.98742,0.63379,1.41897,4.47606e-05,4.47606e-05,4.47606e-05
90,17593.7,1.21047,1.08858,1.34103,0.70599,0.58271,0.62264,0.42133,0.98733,0.63368,1.41899,3.9264e-05,3.9264e-05,3.9264e-05
91,17788.2,1.16819,0.89335,1.32766,0.70746,0.58168,0.62233,0.42127,0.98721,0.63312,1.4191,3.4227e-05,3.4227e-05,3.4227e-05
92,17979.7,1.15027,0.86209,1.31082,0.70956,0.58318,0.62312,0.42121,0.98684,0.63273,1.41887,2.96546e-05,2.96546e-05,2.96546e-05
93,18171,1.14951,0.853,1.30992,0.7096,0.58323,0.62241,0.42111,0.98673,0.633,1.41875,2.55513e-05,2.55513e-05,2.55513e-05
94,18361.9,1.1514,0.84797,1.31039,0.7153,0.58036,0.6232,0.42111,0.98648,0.63271,1.41856,2.19212e-05,2.19212e-05,2.19212e-05
95,18552.7,1.14623,0.84521,1.3119,0.71563,0.5803,0.62511,0.42173,0.98627,0.63276,1.41845,1.87678e-05,1.87678e-05,1.87678e-05
96,18743.8,1.14719,0.84748,1.30901,0.71497,0.5816,0.62586,0.42212,0.9861,0.63258,1.41819,1.60943e-05,1.60943e-05,1.60943e-05
97,18934.6,1.14498,0.84635,1.30251,0.7151,0.58224,0.62594,0.42239,0.98606,0.63226,1.41809,1.39032e-05,1.39032e-05,1.39032e-05
98,19124.8,1.14473,0.83467,1.30506,0.7169,0.58058,0.62586,0.42201,0.98592,0.63202,1.4179,1.21968e-05,1.21968e-05,1.21968e-05
99,19315.8,1.14798,0.83775,1.30688,0.71631,0.5793,0.6253,0.42205,0.98582,0.6317,1.41789,1.09768e-05,1.09768e-05,1.09768e-05
100,19506.2,1.13982,0.83239,1.3015,0.71315,0.57587,0.62333,0.42182,0.98581,0.63175,1.41775,1.02443e-05,1.02443e-05,1.02443e-05
